date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
5/2/2014 0:00,313000.0,3,1.5,1340.0,7912.0,1.5,0.0,3.0,1340.0,0.0,1955.0,2005.0,18810 Densmore Ave N,Shoreline,WA 98133,USA
5/2/2014 0:00,2384000.0,5,2.5,3650.0,9050.0,2.0,0.0,5.0,3370.0,280.0,1921.0,0.0,709 W Blaine St,Seattle,WA 98119,USA
5/2/2014 0:00,342000.0,3,2.0,1930.0,11947.0,1.0,0.0,4.0,1930.0,0.0,1966.0,0.0,26206-26214 143rd Ave SE,Kent,WA 98042,USA
5/2/2014 0:00,420000.0,3,2.25,2000.0,8030.0,1.0,0.0,4.0,1000.0,1000.0,1963.0,0.0,857 170th Pl NE,Bellevue,WA 98008,USA
5/2/2014 0:00,550000.0,4,,,,,,4.0,1140.0,800.0,1976.0,1992.0,9105 170th Ave NE,Redmond,WA 98052,USA
5/2/2014 0:00,490000.0,2,,,,,,3.0,880.0,0.0,1938.0,1994.0,522 NE 88th St,Seattle,WA 98115,USA
5/2/2014 0:00,335000.0,2,,,,,,3.0,1350.0,0.0,1976.0,0.0,2616 174th Ave NE,Redmond,WA 98052,USA
5/2/2014 0:00,482000.0,4,,,,,,3.0,2710.0,0.0,1989.0,0.0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA
5/2/2014 0:00,452500.0,3,,,,,,4.0,1570.0,860.0,1985.0,0.0,46611-46625 SE 129th St,North Bend,WA 98045,USA
5/2/2014 0:00,640000.0,4,,,,,,3.0,1520.0,0.0,1945.0,2010.0,6811 55th Ave NE,Seattle,WA 98115,USA
5/2/2014 0:00,463000.0,3,,,,,,3.0,1710.0,0.0,1948.0,1994.0,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA
5/2/2014 0:00,1400000.0,4,,,,,,5.0,1910.0,1010.0,1909.0,1988.0,3838-4098 44th Ave NE,Seattle,WA 98105,USA
5/2/2014 0:00,588500.0,3,,,,,,3.0,1970.0,360.0,1980.0,0.0,1833 220th Pl NE,Sammamish,WA 98074,USA
5/2/2014 0:00,365000.0,3,,,,,,4.0,1090.0,0.0,1955.0,2009.0,2504 SW Portland Ct,Seattle,WA 98106,USA
5/2/2014 0:00,1200000.0,5,,,,,,3.0,2910.0,0.0,1939.0,1969.0,3534 46th Ave NE,Seattle,WA 98105,USA
5/2/2014 0:00,242500.0,3,,,,,,4.0,1200.0,0.0,1965.0,0.0,14034 SE 201st St,Kent,WA 98042,USA
5/2/2014 0:00,419000.0,3,,,,,,4.0,1570.0,0.0,1956.0,0.0,15424 SE 9th St,Bellevue,WA 98007,USA
5/2/2014 0:00,367500.0,4,,,,,,3.0,3110.0,0.0,1997.0,0.0,11224 SE 306th Pl,Auburn,WA 98092,USA
5/2/2014 0:00,257950.0,3,,,,,,3.0,1370.0,0.0,1987.0,2000.0,1605 S 245th Pl,Des Moines,WA 98198,USA
5/2/2014 0:00,275000.0,3,,,,,,3.0,1180.0,0.0,1983.0,2009.0,12425 415th Ave SE,North Bend,WA 98045,USA
5/2/2014 0:00,750000.0,3,,,,,,5.0,1550.0,690.0,1923.0,0.0,3225 NE 92nd St,Seattle,WA 98115,USA
5/2/2014 0:00,435000.0,4,,,,,,4.0,1450.0,0.0,1954.0,1979.0,3922 154th Ave SE,Bellevue,WA 98006,USA
5/2/2014 0:00,626000.0,3,,,,,,3.0,1470.0,280.0,2005.0,0.0,3140 Franklin Ave E,Seattle,WA 98102,USA
5/2/2014 0:00,612500.0,4,,,,,,3.0,2730.0,0.0,1991.0,0.0,10212 NE 156th Pl,Bothell,WA 98011,USA
5/2/2014 0:00,495000.0,4,,,,,,3.0,1130.0,470.0,1959.0,1989.0,2021 NE 100th St,Seattle,WA 98125,USA
5/2/2014 0:00,285000.0,3,,,,,,4.0,1360.0,730.0,1987.0,0.0,27736 23rd Avenue South,Federal Way,WA 98003,USA
5/2/2014 0:00,615000.0,3,,,,,,4.0,1360.0,1000.0,1948.0,0.0,8436-8438 41st Ave SW,Seattle,WA 98136,USA
5/2/2014 0:00,698000.0,4,,,,,,5.0,1300.0,900.0,1920.0,0.0,1036 4th St,Kirkland,WA 98033,USA
5/2/2014 0:00,675000.0,5,,,,,,3.0,2820.0,0.0,1979.0,2014.0,23525 SE 32nd Way,Issaquah,WA 98029,USA
5/2/2014 0:00,790000.0,3,,,,,,4.0,1700.0,900.0,1951.0,1999.0,3314 NW 75th St,Seattle,WA 98117,USA
5/2/2014 0:00,382500.0,4,,,,,,4.0,1560.0,0.0,1967.0,0.0,14104 119th Ave NE,Kirkland,WA 98034,USA
5/2/2014 0:00,499950.0,4,,,,,,3.0,2190.0,670.0,2004.0,2003.0,20120 137th Ave NE,Woodinville,WA 98072,USA
5/2/2014 0:00,650000.0,4,,,,,,3.0,1640.0,180.0,1945.0,2010.0,7201-7399 55th Ave NE,Seattle,WA 98115,USA
5/2/2014 0:00,625000.0,4,,,,,,3.0,2820.0,0.0,2014.0,0.0,17052 4th Ave NE,Shoreline,WA 98155,USA
5/2/2014 0:00,400000.0,4,,,,,,3.0,2300.0,1330.0,1979.0,2014.0,5172-5198 Heather Ave SE,Auburn,WA 98092,USA
5/2/2014 0:00,604000.0,3,,,,,,3.0,3240.0,0.0,1995.0,0.0,30822 36th Ct SW,Federal Way,WA 98023,USA
5/2/2014 0:00,440000.0,2,,,,,,4.0,800.0,0.0,1944.0,0.0,4801-4899 6th Ave NW,Seattle,WA 98107,USA
5/2/2014 0:00,287200.0,3,,,,,,4.0,1090.0,760.0,1992.0,0.0,23017 SE 281st Ct,Maple Valley,WA 98038,USA
5/2/2014 0:00,403000.0,3,,,,,,5.0,1650.0,310.0,1957.0,0.0,17825 4th Ave SW,Normandy Park,WA 98166,USA
5/2/2014 0:00,750000.0,3,,,,,,4.0,1440.0,950.0,1955.0,2009.0,3628 59th Ave SW,Seattle,WA 98116,USA
5/2/2014 0:00,335000.0,3,,,,,,4.0,1580.0,0.0,1978.0,2000.0,4460 332nd Ave SE,Fall City,WA 98024,USA
5/2/2014 0:00,260000.0,4,,,,,,4.0,1480.0,0.0,1974.0,0.0,2019 Aberdeen Pl SE,Renton,WA 98055,USA
5/2/2014 0:00,308500.0,2,,,,,,4.0,850.0,0.0,1950.0,1983.0,121 NE 147th St,Shoreline,WA 98155,USA
5/2/2014 0:00,439950.0,3,,,,,,3.0,1770.0,0.0,1990.0,2009.0,4458 51st Ave SW,Seattle,WA 98116,USA
5/2/2014 0:00,235000.0,2,,,,,,2.0,1210.0,0.0,1949.0,0.0,7542 21st Ave SW,Seattle,WA 98106,USA
5/2/2014 0:00,315000.0,3,,,,,,3.0,1160.0,0.0,1968.0,1997.0,15804 198th Pl NE,Woodinville,WA 98077,USA
5/2/2014 0:00,437500.0,3,,,,,,4.0,1970.0,0.0,1977.0,0.0,26069 SE 154th St,Issaquah,WA 98027,USA
